Date,Open($),High($),Low($),Close ($),VWAP($),Change($),Change(%),Volume,Trade_Value,#Trades
"Mar 28, 2023 12:00 AM",157.97,158.49,155.98,157.65,156.971,-0.63,-0.398,45992152,7219700880,433164
"Mar 27, 2023 12:00 AM",159.94,160.77,157.87,158.28,158.989,-1.97,-1.229,52390266,8329332170,518642
"Mar 24, 2023 12:00 AM",158.86,160.34,157.85,160.25,159.268,1.32,0.831,59256343,9465790440,518290
"Mar 23, 2023 12:00 AM",158.83,161.55,157.68,158.93,159.52,1.1,0.697,67622060,10927990500,615173
"Mar 22, 2023 12:00 AM",159.3,162.14,157.81,157.83,159.633,-1.45,-0.91,75701811,12085949100,657823
"Mar 21, 2023 12:00 AM",157.32,159.4,156.54,159.28,158.36,1.88,1.194,73938285,11705010400,592120
"Mar 20, 2023 12:00 AM",155.07,157.82,154.15,157.4,156.626,2.4,1.548,73641415,11531445800,629237
"Mar 17, 2023 12:00 AM",156.08,156.74,154.28,155,155.336,-0.85,-0.545,98944633,15379200500,617073
"Mar 16, 2023 12:00 AM",152.16,156.46,151.64,155.85,154.815,2.86,1.869,76254419,11802459300,676755
"Mar 15, 2023 12:00 AM",151.19,153.245,149.92,152.99,151.784,0.4,0.262,77167866,11711058400,703729
"Mar 14, 2023 12:00 AM",151.28,153.4,150.1,152.59,152.105,2.12,1.409,73695893,11216669000,566208
"Mar 13, 2023 12:00 AM",147.805,153.14,147.7,150.47,151.194,1.97,1.327,84457122,12761988700,761052
"Mar 10, 2023 12:00 AM",150.21,150.94,147.61,148.5,149.026,-2.09,-1.388,68572400,10219682100,612257
"Mar 9, 2023 12:00 AM",153.559,154.535,150.225,150.59,152.424,-2.28,-1.491,53833582,8206744920,481550
"Mar 8, 2023 12:00 AM",152.81,153.47,151.83,152.87,152.69,1.27,0.838,47204791,7206896430,405868
"Mar 7, 2023 12:00 AM",153.7,154.03,151.13,151.6,152.247,-2.23,-1.45,56182028,8553839950,497690
"Mar 6, 2023 12:00 AM",153.785,156.3,153.46,153.83,154.674,2.8,1.854,87558028,13534945000,692294
"Mar 3, 2023 12:00 AM",148.045,151.11,147.33,151.03,150.065,5.12,3.509,70732297,10609700300,559232
"Mar 2, 2023 12:00 AM",144.38,146.71,143.9,145.91,145.186,0.6,0.413,52279761,7645819920,413996
"Mar 1, 2023 12:00 AM",146.83,147.229,145.01,145.31,145.816,-2.1,-1.425,55478991,8091007450,462028
